ecocrop_id,scientific_name,life_form,physiology,habit,category,life_span,plant_attributes,soil_depth,temperature_c_opt_min,temperature_c_opt_max,temperature_c_abs_min,temperature_c_abs_max,soil_texture,rainfall_mm_opt_min,rainfall_mm_opt_max,rainfall_mm_abs_min,rainfall_mm_abs_max,soil_fertility,latitude_deg_opt_min,latitude_deg_opt_max,latitude_deg_abs_min,latitude_deg_abs_max,altitude_m_abs_max,soil_salinity,soil_ph_opt_min,soil_ph_opt_max,soil_ph_abs_min,soil_ph_abs_max,soil_drainage,light_intensity,climate_zone,photoperiod,killing_temp_rest,killing_temp_growth,abiotic_tolerance,production_system,ecocrop_name,analyst_note,rainfall_data_status,altitude_category,soil_salinity_clean,waterlogging_sensitivity,drought_tolerance,light_intensity_clean,climate_zone_cleaned,photoperiod_cleaned,killing_temp_rest_cleaned,killing_temp_growth_cleaned,crop_cycle_min_days,crop_cycle_max_days,Average Crop Life Cycle,mixed,commercial,home_garden,smallscale,largeland
5320,Digitalis lanata,herb,Not Specified,erect,medicinals & aromatics,biennial,grown on small scale,shallow (20-50 cm),18.0,26.0,7.0,30.0,"light, medium",450.0,650.0,300.0,800.0,high,35.0,25.0,45.0,55.0,,low (<4 dS/m),6.5,7.5,6.0,8.0,"well (dry spells), excessive (dry/moderately dry)",very bright | very bright | very bright | clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",-5 | Killing temp. early growth | 0,0,Abiotic suscept.,Crop cycle | 100 | 210,Digitalis lanata,No specific observations were recorded,Data available,Not Specified,Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Flexible / Any,-5,0,100,210,155.0,False,False,False,False,False
6467,Glycyrrhiza glabra,"herb, sub-shrub",Not Specified,erect,"roots/tubers, forage/pasture, materials, medicinals & aromatics",perennial,grown on small scale,deep (>>150 cm),14.0,25.0,5.0,30.0,"medium, heavy",500.0,1000.0,300.0,1200.0,high,,,,,,low (<4 dS/m),6.5,7.5,5.5,8.2,well (dry spells),very bright | very bright | very bright | clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | long day (>14 hours)",long day (>14 hours),-10 | Killing temp. early growth | 0,0,Abiotic suscept.,small scale (manual) | Crop cycle | 90 | 150,Glycyrrhiza glabra,No specific observations were recorded,Data available,Not Specified,Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Long Day (>14h),-10,0,90,150,120.0,False,False,False,True,False
8296,Papaver somniferum,herb,Not Specified,erect,medicinals & aromatics,annual,grown on large scale,medium (50-150 cm),15.0,24.0,3.0,28.0,medium,800.0,1200.0,300.0,1700.0,high,15.0,10.0,55.0,60.0,2400.0,low (<4 dS/m),6.5,7.5,6.0,8.3,well (dry spells),very bright | clear skies | very bright | cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | long day (>14 hours)",long day (>14 hours),-5 | Killing temp. early growth | 0,0,Abiotic suscept.,"home garden, large scale/commercial | Crop cycle | 135 | 210",Papaver somniferum,"CULTIVATION IS ILLEGAL IN EGYPT. Retained in the dataset for economic comparison only. It must not appear in any cultivation recommendation, map or ranking presented as policy advice.",Data available,Highland (>1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Long Day (>14h),-5,0,135,210,172.5,False,True,True,False,True
9784,Silybum marianum,herb,Not Specified,erect,medicinals & aromatics,annual,grown on large scale,Not Specified,22.0,35.0,18.0,40.0,"light, medium",400.0,600.0,300.0,700.0,high,,,,,,,6.0,7.6,5.0,8.5,well (dry spells),very bright | very bright | clear skies | very bright,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc) | Photoperiod",,no input | Killing temp. early growth | no input,no input,Abiotic suscept.,large scale/commercial | Crop cycle | 110 | 140,Silybum marianum,"SOIL pH IS PARTLY DERIVED. EcoCrop gives no pH for this species. Optimum 6.0-7.6 from the agronomic cultivation literature. Absolute ceiling 8.5 is derived from PFAF (can grow in very alkaline soils) and RHS (alkaline or neutral). The highest MEASURED pH at which a full crop cycle completed is 7.9 (Greek field soils); everything above 8.0 is extrapolation. It grows wild across Egypt including the Delta and Assiut. BINDING CONSTRAINT IS SEASON, NOT pH: germination optimum is 2-15 C, so it must be autumn sown (Oct-Nov) and harvested May-June. A spring or summer sowing will fail.",Data available,Not Specified,Not Specified,Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",Not Specified,Not Specified,Not Specified,110,140,125.0,False,True,False,False,True
10554,Trigonella foenum-graecum,herb,multi stem,erect,medicinals & aromatics,annual,grown on large scale,medium (50-150 cm),13.0,27.0,5.0,32.0,"light, medium",600.0,800.0,380.0,1550.0,moderate,30.0,,50.0,,,low (<4 dS/m),7.0,7.5,5.3,8.2,well (dry spells),very bright | clear skies | very bright | cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do) | Photoperiod | short day (<12 hours)",short day (<12 hours),-15 | Killing temp. early growth | 0,0,Abiotic suscept.,Crop cycle | 60 | 120,Trigonella foenum-graecum,No specific observations were recorded,Data available,Not Specified,Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)",Short Day (<12h),-15,0,60,120,90.0,False,False,False,False,False
10841,Vinca minor,"sub-shrub, evergreen groundcover",Not Specified,prostrate,"medicinals & aromatics, ornamentals/turf",perennial,"grown on small scale, harvested from wild",shallow (20-50 cm),10.0,25.0,5.0,28.0,"light, medium, heavy",890.0,1367.0,,,high,35.0,35.0,60.0,60.0,,"glycophyte, no salt tolerance (EIVE salinity 0)",6.7,7.2,5.0,8.0,"moist but well drained, not waterlogged","moderate shade preferred, full sun only if soil stays moist","temperate submontane, USDA zones 4a-9b",,no input | Killing temp. early growth | no input,no input,Abiotic suscept.,large scale/commercial,Vinca minor,"MARGINAL FOR EGYPT, USE WITH CAUTION. Its EcoCrop page exists but holds no numeric values, so requirements were entered from literature. pH ceiling 8.0 means only the low-pH Delta governorates qualify. It is a SHADE plant (EIVE light 3.9/10) and a glycophyte with zero salt tolerance. Its seed needs acid scarification plus 90 days of cold stratification and is rarely set in cultivation, so Egyptian production would have to be entirely vegetative. The hottest site where it is documented growing has a July mean of only 27.9 C, below Egyptian Delta summer means. Realistic only under shade net with continuous good-quality irrigation.",Data available,Not Specified,Low (<4 dS/m),High (waterlogging intolerant),Low (needs consistent moisture),Moderate Shade,"temperate submontane, USDA zones 4a-9b",Not Specified,Not Specified,Not Specified,730,730,730.0,False,True,False,False,True
10920,Withania somnifera,shrub,multi stem,erect,medicinals & aromatics,perennial,grown on small scale,medium (50-150 cm),18.0,32.0,12.0,40.0,medium,650.0,750.0,300.0,800.0,moderate,,,22.0,24.0,1800.0,low (<4 dS/m),7.5,8.0,6.5,8.5,well (dry spells),clear skies | very bright | light shade | very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs) | Photoperiod",,-1 | Killing temp. early growth | 0,0,Abiotic suscept. | flooding,intermediate (animal drawn) | Crop cycle | 150 | 190,Withania somnifera,No specific observations were recorded,Data available,Highland (>1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",Not Specified,-1,0,150,190,170.0,False,False,False,False,False
90001,Ammi visnaga,herb,Not Specified,erect,medicinals & aromatics,"annual, biennial",Not Specified,Not Specified,10.0,25.0,5.0,32.0,"light, medium",,,,,not specified,,,,,,"tolerant, unquantified; field crop at EC 0.95 dS/m",7.0,8.0,6.8,8.3,well drained,,"subtropical dry summer (Cs), arid irrigated",,,,Not Specified,large scale/commercial,Ammi visnaga,"NATIVE EGYPTIAN SPECIES, STRONGEST EVIDENCE IN THE DATASET. Requirements entered manually; EcoCrop has no entry. Backed by an Egyptian field trial (Al-Azhar University, Assiut) on soil of pH 7.87 yielding 645-725 kg fruit per feddan, sown 5 Nov and harvested early June. NO RAINFALL FIGURE EXISTS in the literature; the crop is irrigated in Egypt, so irrigation_need_mm_year is blank by design, not by omission.",Missing by design - irrigated crop,Not Specified,High / Tolerant (>10 dS/m),Moderate (standard well-drained need),Not specified,Not Specified,"subtropical dry summer (Cs), arid irrigated",Not Specified,Not Specified,Not Specified,210,240,225.0,False,True,False,False,True
90002,Ammi majus,herb,Not Specified,erect,medicinals & aromatics,annual,Not Specified,Not Specified,20.0,22.0,8.0,35.0,"light, medium, heavy",,,,,not specified,,,,,,sodicity tolerant to ESP 33.5 (Na excluder); damage at ESP 57.4,6.5,7.8,6.0,8.5,well drained,,"subtropical dry summer (Cs), Mediterranean winter crop",,,,Not Specified,large scale/commercial,Ammi majus,"NATIVE EGYPTIAN SPECIES. Requirements entered manually; EcoCrop has no entry. WEAKEST-SOURCED OF THE MANUAL FIVE for climate: the best agronomy is Indian (Nagpur sowing-date trial), not Egyptian. The pH ceiling of 8.5 is inferred from a sodicity trial (tolerant at ESP 33.5, which implies pH above 8.5) rather than a direct pH-gradient experiment. No rainfall figure exists.",Missing by design - irrigated crop,Not Specified,High / Tolerant (>10 dS/m),Moderate (standard well-drained need),Not specified,Not Specified,"subtropical dry summer (Cs), Mediterranean winter crop",Not Specified,Not Specified,Not Specified,150,165,157.5,False,True,False,False,True
90003,Hyoscyamus muticus,"herb, sub-shrub",Not Specified,erect,medicinals & aromatics,"perennial, annual",Not Specified,Not Specified,20.0,30.0,10.0,40.0,"light, medium, heavy",,,2.0,,not specified,,,,,,unquantified; habitat soils span EC 0.128-15.375 dS/m,7.5,8.2,7.4,8.5,free to excessive,,hyper-arid desert (BWh),,,,Not Specified,large scale/commercial,Hyoscyamus muticus,"EGYPTIAN DESERT NATIVE. Requirements entered manually; EcoCrop has no entry. pH range 7.4-8.5 is HABITAT evidence (Wadi Hagul, Eastern Desert soil surveys), not a controlled experiment. Temperature optimum 20-30 C is a GERMINATION optimum from a Cairo University study, not a vegetative optimum. IMPORTANT AGRONOMIC POINT: PROTA reports that generous irrigation raises leaf yield but LOWERS alkaloid content, so low-water desert conditions are agronomically desirable here, not merely tolerable. Listed as threatened in recent Egyptian floristic surveys, which is an argument for domestication.",Data available,Not Specified,High / Tolerant (>10 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Not Specified,hyper-arid desert (BWh),Not Specified,Not Specified,Not Specified,120,140,130.0,False,True,False,False,True
90004,Matricaria chamomilla,herb,Not Specified,erect,medicinals & aromatics,"annual, perennial",Not Specified,Not Specified,19.0,25.0,6.0,30.0,light,700.0,1000.0,300.0,1300.0,not specified,,,,,,moderate; damage between 100-150 mM NaCl (~10-15 dS/m),5.5,7.0,5.0,8.3,well drained,,"subtropical dry summer (Cs), temperate",,,,Not Specified,large scale/commercial,Matricaria chamomilla,"DOCUMENTED CONFLICT, DISCLOSE IT. Requirements entered manually; EcoCrop has no entry. The database pH ceiling is 7.0, which would exclude nearly all Egyptian soil, yet Ain Shams University grew a successful crop at Shoubra El-Kheima on soil of pH 7.77 and 8.27, and chamomile is one of Egypt's largest medicinal plant export crops (Minya, Fayoum, Beni Suef, Assiut). The Egyptian field value 8.3 is used here and the 7.0 database figure is recorded as a conflict. State this yourself in the methodology.",Data available,Not Specified,Moderate (4-10 dS/m),Moderate (standard well-drained need),Not specified,Not Specified,"subtropical dry summer (Cs), temperate",Not Specified,Not Specified,Not Specified,140,150,145.0,False,True,False,False,True
90005,Aloe vera,herb,Not Specified,rosette,medicinals & aromatics,perennial,Not Specified,Not Specified,19.0,35.0,10.0,40.0,"light, medium",1000.0,1800.0,700.0,4000.0,not specified,,,,,,tolerant to ~6 dS/m (measured),6.5,7.5,6.0,8.5,"well drained, no waterlogging",,"arid to subtropical, irrigated",,,,Not Specified,large scale/commercial,Aloe vera,"DOCUMENTED CONFLICT, DISCLOSE IT. Requirements entered manually; EcoCrop has no entry. Useful Tropical Plants gives a rainfall optimum of 1900-3000 mm, which contradicts the physiology of a desert succulent. The Odisha State Medicinal Plants Board figure of 1000-1800 mm with irrigation is used instead as the defensible input for an Egyptian scenario. Measured salinity ceiling is about 6 dS/m.",Data available,Not Specified,Moderate (4-10 dS/m),High (waterlogging intolerant),Not specified,Not Specified,"arid to subtropical, irrigated",Not Specified,Not Specified,Not Specified,210,240,225.0,False,True,False,False,True
