commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp,matched_api,n_apis_in_product
EXCELLENT WHITE CREAM 50 GM,إكسسيللينت وهيتي,KOJIC ACID+LICORICE EXTRACT+VITAMIN C+COLLAGEN MARINE+HYALURONIC ACID+SALISILIC ACID+LACTIC ACID+GLYCOLIC ACID+TEA TREE OIL+ALPHA-BISABOLOL+PANTHENOL+SHEA BUTTER+CHAMOMILE EXTRACT+UREA,EGYPTIAN CO. FOR COSMETICS > OPEXA,SKIN CARE.WHITENING,TOPICAL,55.0,bisabolol,1
GLATKO LOTION 200 ML,جلاتكو,ZN GLUCONATE+TRICLOSAN+ALPHA-BISABOLOL+SALISILIC ACID+GLYCOLIC ACID+TEA TREE OIL+PANTHENOL+ALOE VERA+UREA+VITAMIN E,DREAMS EL HABBOBA > OPEXA,CLEANSER AND MOISTURIZER LOTION,UNKNOWN,80.0,bisabolol,1
HESSTA 50 MG CREAM,هيسستا,BETA SITOSTEROL- BEESWAX- CALENDULA EX.- TRICLOSAN - ALPHA BISABOLOL - ALPHA PINENE,COSMOPACK > MASTER PHARM,HEALING AND MOISTURIZER CREAM,TOPICAL,80.0,bisabolol,1
KIRAGLOW CREAM 30 GM,كيراجلوو,TRICLOSAN+NICOTINAMIDE+ALPHA-BISABOLOL+TEA TREE OIL+ZN GLUCONATE+SULFUR+VITAMIN E+GREEN TEA EXTRACT+CALENDULA EXTRACT+LICORICE EXTRACT,DREAMS EL HABBOBA > OPEXA,SKIN CARE.ANTI-ACNE,TOPICAL,55.0,bisabolol,1
LUCENTE CRE CLEAR GEL CREAM 50 ML,لوسينتي كري كليار,BAKUCHIOL 0.5%+SEBARYL+SALICYLIC ACID 0.5%+BISABOLOL+WITCH HAZEL EXTRACT,MACRO GROUP PHARMACEUTICALS,SKIN CARE,TOPICAL,300.0,bisabolol,1
LUCENTE CRE CONTROL CREAM 20 GM,لوسينتي كري كونترول,BAKUCHIOL+SALICYLIC ACID 2%+BISABOLOL,MACRO GROUP PHARMACEUTICALS,SKIN CARE,TOPICAL,210.0,bisabolol,1
LUCENTE CRE FOAM CLEANSER 200 ML,لوسينتي كري كليانسير,BAKUCHIOL+PENTAVITIN+SALICYLIC ACID+HONEY+BISABOLOL,MACRO GROUP PHARMACEUTICALS,SKIN CARE,TOPICAL,310.0,bisabolol,1
MAMY CARE CREAM 30 GM (N/A),مامي كاري,PANTHENOL+ALLANTOIN+BISABOLOL+DIMETHICONE+GLYCERIN+ALMOND OIL+PARAFFIN OIL,SINA > HEALTH WELL EGYPT,MOISTURIZING TOPICAL,TOPICAL,17.0,bisabolol,1
MAMY CARE CREAM 50 GM,مامي كاري,PANTHENOL+ALLANTOIN+BISABOLOL+DIMETHICONE+GLYCERIN+ALMOND OIL+PARAFFIN OIL,SINA > HEALTH WELL EGYPT,SKIN CARE.MOISTURIZING,TOPICAL,95.0,bisabolol,1
RODIGAIR LOTION 60 ML,روديجاير,PIROCTONE OLAMINE+TEA TREE OIL+JOJOBA OIL+ALOE VERA EXTRACT+SAGE OIL+BISABOLOL+SEAWEED EXTRACT+GRAECUM SEED OIL+GLYCERYL STEARATE+PANTHENOL+MELALEUCA ALTERNIFOLIA LEAF OIL+ISOPROPYL MYRISTATE+PEG STEARATE+PROPYLENE GLYCOL+ACRYLATE+SODIUM GLUCONATE+XANTHAN GUM+TRIGONELLA FOENUM,DREAMS ELHABOBA > ROGENDA PHARMACEUTICAL INDUSTRIES,HAIR CARE,UNKNOWN,87.0,bisabolol,1
SOZ ACT-PLUS SOOTHING OINTMENT 30GM,سوز أكت-بلوس سوثينج,BETA-SITOSTEROL+BISABOLOL+ARBUTIN+RETINYL PALMITATE+HONEY+BEESWAX+BHT+TRIETHANOLAMINE+PEG-8+STEARIC ACID+POLYSORBATE 20+CHLORHEXIDINE+METHYLPARABEN+ALOE BARBADENSIS EXTRACT+CHAMOMILLA RECUTITA FLOWE EXTRACT+PANTHENOL+DIMETHICONE+ALLANTOIN+PETROLATUM+PARAFFINUMLIQUIDUM+HYDROGENATED SOYBEAN OIL,KEMPETRO CHEMICAL INDUSTRIES PHARMACEUTICAL AND COSMETICS > ACTIO PHARM,COSMETIC,TOPICAL,160.0,bisabolol,1
STRETCH STOP WITH COLLAGEN & SHEA BUTTER 100 GM CREAM,ستريتتش ستوب ويث كوللاجين & شيا بوتتير,COLLAGEN+ELASTIN+SHEA BUTTER+CAFFEINE+VIT A+VIT E+VIT C+HYALURONIC ACID+BISABOLOL+PALMITOYL OLIGOPEPTIDE+PANTHENOL+SAW PALMETTO+CALENDULA OFFICINALIS+GINGER+GRAPE SEED,SMARTEC > STRUCTURE COMPANY,ANTI STRETCH MARK CREAM,TOPICAL,120.0,bisabolol,1
VERVENDA COOL 30 ML SERUM,فيرفيندا كول سيروم,COLLAGENASE G ENZYME+PROTEASE ENZYME+CHITOSAN+HYALURONIC ACID+ALLANTOIN+BISABOLOL+BETASITOSTEROL+HYDROXYETHYL CELLULOSE+CENTELLA ASIATICA+XANTHAN GUM,ECC > ROVA CAN,SKIN REGENERATIVE SERUM,UNKNOWN,240.0,bisabolol,1
ZINCOPAN CREAM 60 GM,زينكوبان,ZINC OXIDE+PANTHENOL+DIMETHICONE(350)+BISABOLOL+CETRIMIDE,LEADER COSMETICS > LEADERS PHARM,SKIN CARE.MOISTURIZING,TOPICAL,70.0,bisabolol,1
CODERM CREAM 30 GM,كوديرم,CHAMAZULENE+CHLORHEXIDINE+PANTHENOL+ZINC OXIDE+OLIVE OIL+BEE WAX+LIQUORICE+ALOE VERA+DIMETHICONE+TITANIUM DIOXIDE+VASELINE+GLYCERIN+PROPYLENE GLYCOL,MARVEL,SKIN CARE,TOPICAL,45.0,chamazulene,1
MALVA VAG.DOUCHE 120 ML,مالفا فاج,MALVA EXTRACT (MALLOW)+TEGOBTAIN+CHLORHEXIDINE GLUCONATE+CHLOROCRESOL+THYMOL+MENTHOL+CHAMAZULENE+ROS,PANAX PHARMA,VAGINAL CARE,VAGINAL,59.0,chamazulene,2
MALVA VAG.DOUCHE 240ML,مالفا فاج,MALVA EXTRACT (MALLOW)+TEGOBTAIN+CHLORHEXIDINE GLUCONATE+CHLOROCRESOL+THYMOL+MENTHOL+CHAMAZULENE+ROS,PANAX PHARMA,VAGINAL CARE,VAGINAL,75.0,chamazulene,2
BRONCHOLASE 10MG 20 CAPS. (CANCELLED),برونتشولاسي,CODEINE+DIPHENHYDRAMINE,MEMPHIS,COUGH SUPPRESSANT,ORAL.SOLID,4.1,codeine,1
CODIOCT CUM EXPECTORANT SYRUP 90 ML,كوديوكت كوم إكسبيكتورانت,CODEINE+GUAIFENESIN+PHENYLTOLOXAMINE+THYME LIQUID EXTRACT,OCTOBER PHARMA,COUGH PRODUCTS,ORAL.LIQUID,11.0,codeine,1
CODIOCT SYRUP 90 ML,كوديوكت,CODEINE+PHENYLTOLOXAMINE,OCTOBER PHARMA,COUGH SUPPRESSANT,ORAL.LIQUID,8.9,codeine,1
VEGASKINE COMPOUND 5 RECTAL SUPP.,فيجاسكيني كومبوند 5 سوبب,ACETYLSALICYLIC ACID+CAFFEINE+CODEINE+PARACETAMOL(ACETAMINOPHEN)+PHENOBARBITONE,ALEXANDRIA,ANALGESIC,RECTAL,27.5,codeine,1
CARDIXIN 0.25 MG 40 TABS.,كارديكسين,DIGOXINE,ALEXANDRIA,HEART FAILURE.CARDIOTONIC AGENTS,ORAL.SOLID,36.0,digoxin,1
CARDIXIN 500 MCG/2ML 5 AMPS.,كارديكسين /,DIGOXINE,ALEXANDRIA,HEART FAILURE.CARDIOTONIC AGENTS,INJECTION,50.0,digoxin,1
DIGOXICARD 0.05MG/ML ELIXIR 60 ML,ديجوكسيكارد /مل إليكسير,DIGOXINE,EL NILE.,HEART FAILURE.CARDIOTONIC AGENTS,ORAL.LIQUID,11.75,digoxin,1
LANOXIN 0.05MG/ML PAEDIATRIC ELIXIR,لانوكسين /مل بايدياتريك إليكسير,DIGOXINE,GLAXO SMITHKLINE,HEART FAILURE.CARDIOTONIC AGENTS,ORAL.LIQUID,21.6,digoxin,1
LANOXIN 0.25 MG 100 TABS.,لانوكسين,DIGOXINE,ASPEN PHARMA > PHOENIX GROUP,HEART FAILURE.CARDIOTONIC AGENTS,ORAL.SOLID,119.0,digoxin,1
LANOXIN 0.5MG/2ML 5 AMPS.,لانوكسين /,DIGOXINE,ASPEN PHARMA > PHOENIX GROUP,HEART FAILURE.CARDIOTONIC AGENTS,INJECTION,25.25,digoxin,1
VERDEX PRIME ALBA CREAM 50 ML,فيرديكس بريمي ألبا,GAMMA ORYZANOL+DIOSGENIN+LECITHIN+STABILIZED VIT C,EGOTECK SRL > MACRO GROUP PHARMACEUTICALS,SKIN CARE.WHITENING,TOPICAL,400.0,diosgenin,1
VERDEX PRIME ALBA SERUM 50 ML,فيرديكس بريمي ألبا سيروم,ARBUTIN+ALOESIN+DIOSGENIN+NIACINAMIDE+LECITHIN+STABILIZED VIT C+ALPHA HYDROXY ACIDS,EGOTECK SRL > MACRO GROUP PHARMACEUTICALS,SKIN CARE.WHITENING,TOPICAL,450.0,diosgenin,1
BUSCAMOL 20 F.C.TAB.,بوسكامول,HYOSCINE+PARACETAMOL(ACETAMINOPHEN),DELTA PHARMA,ANTISPASMODIC,ORAL.SOLID,6.25,hyoscine,1
BUSCAMOL 5 SUPP.(N/A),بوسكامول 5 سوبب,HYOSCINE+PARACETAMOL(ACETAMINOPHEN),DELTA PHARMA,ANTISPASMODIC,RECTAL,5.0,hyoscine,1
BUSCAMOL COMPOSITUM 3 AMP,بوسكامول كومبوسيتوم,DIPYRONE(METAMIZOLE)+HYOSCINE,DELTA PHARMA,ANALGESIC,INJECTION,15.0,hyoscine,1
BUSCOPAN COMPOSITUM 20 SUGAR C. TAB. (CANCELLED),بوسكوبان كومبوسيتوم 20 سوجار ك,DIPYRONE(METAMIZOLE)+HYOSCINE,CID > SANOFI,NSAID WITH ANTISPASMODIC,ORAL.SOLID,20.0,hyoscine,1
BUSCOPAN COMPOSITUM 3 AMP. (CANCELLED),بوسكوبان كومبوسيتوم,DIPYRONE(METAMIZOLE)+HYOSCINE,CID > SANOFI,ANALGESIC,INJECTION,10.5,hyoscine,1
BUSCOPAN PLUS 20 F.C.TAB. (CANCELLED),بوسكوبان بلوس,HYOSCINE+PARACETAMOL(ACETAMINOPHEN),CID > SANOFI,ANTISPASMODIC,ORAL.SOLID,8.5,hyoscine,1
BUSCOPAN PLUS 5 ADULT SUPP. (CANCELLED),بوسكوبان بلوس 5 أدولت سوبب,HYOSCINE+PARACETAMOL(ACETAMINOPHEN),CID > SANOFI,ANTISPASMODIC,RECTAL,5.1,hyoscine,1
DONALASE-S 20 TAB.,دونالاسي-س,ATROPINE+HYOSCINE+HYOSCYAMINE+PHENOBARBITAL+SANZYME 2000,MISR,.,ORAL.SOLID,6.5,hyoscine,3
ENTOCID H 20 TABS.,إنتوسيد ه,DIIODOHYDROXYQUINOLINE+HYOSCINE+STREPTOMYCIN,CID,ANTIDIARRHOEAL,ORAL.SOLID,58.0,hyoscine,1
FAST FREE I.M. 3 AMP.,فاست فري,HYOSCINE+KETOPROFEN,DELTA PHARMA,GIT.ANTI-SPASMODIC,INJECTION,11.25,hyoscine,1
SPASMOFEN 3 AMP. FOR I.M. INJ.,سباسموفين,HYOSCINE+KETOPROFEN,AMRIYA,ANTISPASMODIC,UNKNOWN,39.0,hyoscine,1
DONALASE-S 20 TAB.,دونالاسي-س,ATROPINE+HYOSCINE+HYOSCYAMINE+PHENOBARBITAL+SANZYME 2000,MISR,.,ORAL.SOLID,6.5,hyoscyamine,3
SPAZAWAY 0.125MG 20 SUBLINGUAL TAB.,سبازاواي 20 سوبلينجوال,HYOSCYAMINE SULFATE,EGPI > JASPER FOR PHARMACEUTICAL INDUSTRIES,ANTISPASMODIC,ORAL.SOLID,29.0,hyoscyamine,1
COLI-URINAL EFF. GR. 60 GM,كولي-أورينال إفف. جر,HEXAMINE+KHELLIN+PIPERAZINE,MISR,URINARY.ANALGESIC.ANTISEPTIC,EFF,40.0,khellin,1
EZALLIN 2% TOPICAL PAINT 60 ML,إزاللين 2% باينت,KHELLIN,PANAX PHARMA > MULTIPHARMA,VITILIGO,UNKNOWN,26.4,khellin,1
GLUCOLYNAMINE I.V 6 AMPS.,جلوكوليناميني,KHELLIN+DIPROPHYLLINE+GLUCOSE (DEXTROSE)+THEOPHYLLINE,MEMPHIS,.,INJECTION,5.0,khellin,1
JEDCORENE 12 EFF. SACHET,جيدكوريني 12 إفف,HEXAMINE+KHELLIN+PIPERAZINE,JEDCO INT. CO. FOR PHARMACEUTICALS,URINARY.ANALGESIC.ANTISEPTIC,EFF,7.25,khellin,1
KELLAGON 10 EFF. SACHETS,كيللاجون 10 إفف. ساتشيتس,CYMBOPOGON PROXIMUS+KHELLIN,MEPACO,RENAL STONES,EFF,30.0,khellin,1
KELLAGON 20 MG 20 CAPS.,كيللاجون,HALFA BAR EXTRACT+KHELLIN,MEPACO,UTI INFECTIONS,ORAL.SOLID,50.0,khellin,1
LYNAMINE 20 MG 20 TABS.,ليناميني,KHELLIN,MEMPHIS,.,ORAL.SOLID,2.4,khellin,1
RENAL S-N 12 SACHET,رينال س-ن,HEXAMINE+KHELLIN,PHAROPHARMA,URINARY.ANALGESIC.ANTISEPTIC,EFF,30.0,khellin,1
RENAL-S 12 SACHET,رينال-س,HEXAMINE+KHELLIN+PIPERAZINE,PHAROPHARMA,URINARY.ANALGESIC.ANTISEPTIC,EFF,30.0,khellin,1
URICOL 6 EFF. GR. IN SACHETS (N/A),أوريكول 6 إفف. جر. إن ساتشيتس,HEXAMINE+KHELLIN+PIPERAZINE,PHARCO,URINARY.ANALGESIC.ANTISEPTIC,EFF,21.0,khellin,1
URICOL PLUS 12 SACHETS (N/A),أوريكول بلوس,COLCHICINE+KHELLIN+PIPERAZINE CITRATE,PHARCO,ANTIGOUT.ANALGESIC,EFF,6.0,khellin,1
URICOL PLUS N 12 SACHETS,أوريكول بلوس ن,COLCHICINE+KHELLIN+PIPERAZINE CITRATE,PHARCO,ANTIGOUT.ANALGESIC,EFF,48.0,khellin,1
URICOL-N 6 EFF. GR. IN SACHETS,أوريكول-ن 6 إفف. جر. إن ساتشيتس,HEXAMINE+KHELLIN,PHARCO,URINARY.ANALGESIC.ANTISEPTIC,EFF,21.0,khellin,1
URIVIN 10 EFF. SACHETS (N/A),أوريفين 10 إفف. ساتشيتس,ATROPINE SULPHATE+COLCHICINE+KHELLIN+PIPERAZINE,AMOUN,URINARY.ANALGESIC.ANTISEPTIC,EFF,31.0,khellin,2
URIVIN N 10 EFF. SACHETS,أوريفين ن 10 إفف. ساتشيتس,COLCHICINE+KHELLIN+PIPERAZINE,AMOUN,URINARY.ANALGESIC.ANTISEPTIC,EFF,31.0,khellin,1
ABIONEM CREAM 60 GM,أبيونيم,HYALURONIC ACID+COLLAGEN+NIGELLA SATIVA+MENTHOL,EL-HELOU PERFUMES & COSMETICS > ALLIANCE PHARMA,MASSAGE CREAM,TOPICAL,20.95,menthol,1
ACNESEPT 80 GRAM SOAP,أكنيسيبت 80 جرام سواب,TRICLOSAN(IRGASAN)+TEGOBETAIN+CITRIC ACID+SULPHUR PPT.+SALICYLIC ACID+MENTHOL+ZINC OXIDE+LEMON OIL,ZAYTONA EGYPT,ANTI-ACNE,SOAP,4.75,menthol,1
ACTI MASS SPRAY100ML,أكتي ماسس سبراي100مل,MENTHOL CRYSTAL+CAMPHOR OIL+EUCALYPTUS OIL+CLOVE OIL,ACTIMED > PHARMACIA ELITE,MASSAGE SPRAY,UNKNOWN,95.0,menthol,1
ACTI-MASS MASSAGE CREAM50GM,أكتي-ماسس ماسساجي كريام50جم,MENTHOL-SALICYLIC ACID-CERA ALBA-GLYCERIN,ACTIMED > PHARMACIA ELITE,MASSAGE CREAM,TOPICAL,70.0,menthol,1
ADKOPRANDY 75 GM MESSAGE GEL,أدكوبراندي ميسساجي,GLUCOSAMINE+METHYL SALICYLATE+CELADRIN+MENTHOL+CAMPHOR+THYME OIL+CLOVE OIL+TEA TREE OIL+EUCALYPTUS OIL+PEPPERMINT OIL+BHA,BRAND INTERNATIONAL FSC > ALICO PHARMA,MASSAGE GEL,TOPICAL,80.0,menthol,1
ADROIT MASSAGE CREAM 100 GM,أدرويت ماسساجي,CAMPHOR+MENTHOL+EUCALYPTUS+PEPPERMENT OIL+STEARIC ACID+METHYL PARABEN,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > SANTEX PHARMA,MASSAGE CREAM,TOPICAL,75.0,menthol,1
ADVANCE SOAP 100 GM,أدفانسي سواب,SULPHUR+SALICYLIC ACID+LEMON OIL+CITRIC ACID+BORIC ACID+TITANIUM DIOXIDE+THYME+CLOVE+MENTHOL+LANOLIN+GLYCERIN,HI-CARE > KMT PHARMA,SKIN CARE,SOAP,57.0,menthol,1
ADVANCEVELA MAX MASSAGE 50GM CREAM,أدفانسيفيلا ماكس ماسساجي,SALICYLIC ACID+MENTHA PIPERITA OIL+EUCALYPTUS OIL+CURCUMA LONGA ROOT OIL+MENTHOL+EUGENIA CARYOPHYLLUS LEAF OIL+CAMELLIA SINENSIS EXTRACT+TOCOPHEROL+TRIETHANOLAMINE+DISODIUM EDTA+STEARIC ACID+PHENOXYETHANOL+EMU OIL+AQUA+PANTHENOL+GLYCERIN+ALLANTOIN+GLYCERYL STEARATE+CETEARYL ALCOHOL,BRAND INTERNATIONAL > ADVANCE PHARMA,MASSAGE CREAM,TOPICAL,65.0,menthol,1
ADWIFLAM EMULGEL 30 GM,أدويفلام إمولجيل,DICLOFENAC DIETHYLAMINE+METHYL SALICYLATE+MENTHOL,BIORIGINAL INTERNATIONAL GROUP PHARMA EGYPT > ADWIA,ANALGESIC,TOPICAL,38.0,menthol,1
ADWIFLAM EMULGEL 50 GM,أدويفلام إمولجيل,DICLOFENAC DIETHYLAMINE+METHYL SALICYLATE+MENTHOL,BIORIGINAL INTERNATIONAL GROUP PHARMA EGYPT > ADWIA,ANALGESIC,TOPICAL,55.0,menthol,1
AGERA ACNE CREAM 50 GM,أجيرا أكني,NICOTIAMIDE+TEE TREE OIL+ALOE VERA EXTRACT+MENTHOL+AHA+BHA+UV FILTER,LEADER COSMETICS > BEAUTY & BEYOND INTERNATIONAL,ANTI-ACNE,TOPICAL,199.0,menthol,1
AKANZA LIQUID SPRAY 15ML,أكانزا ليكويد,L-ARGININE+MENTHOL CRYSTALS+TEA TREE OIL+ALOE VERA EXTRACT+VITAMIN E+VITAMIN C,KATO PRESTIGE > DEVARTLAB PHARMA,PREMATURE EJACULATION,SPRAY,200.0,menthol,1
ALEJON ANTI DANDRUFF SHAMPOO 200 ML,أليجون أنتي داندروفف,AQUA  SELENIUM SULPHIDE+SALICYLIC ACID+ZINC PYRITHIONE+TEA TREE OIL+CELERY SEEDS+AMLA OIL+MENTHOL+ROSEMARY EXTRACT+ALLANTOIN+VITAMIN E+GINGER EXTRACT+BIOTIN+CAPILECTINE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > ALEJON CO.,HAIR CARE,TOPICAL,175.0,menthol,1
ALGANOVO MASSSAGE GEL 100 GM,ألجانوفو ماسسساجي,MENTHOL+CAMPHOR+EUCALYPTUS+THYME+CLOVE OIL,MEDCARE > INTERNOVO COMPANY,MASSAGE,TOPICAL,125.0,menthol,1
ALGANOVO MASSSAGE GEL 50 GM,ألجانوفو ماسسساجي,MENTHOL+CAMPHOR+EUCALYPTUS+THYME+CLOVE OIL,MEDCARE > INTERNOVO COMPANY,MASSAGE,TOPICAL,75.0,menthol,1
ALGANOVO MASSSAGE SPRAY 125 ML,ألجانوفو ماسسساجي,MENTHOL+CAMPHOR+EUCALYPTUS+THYME+CLOVE OIL,MEDCARE > INTERNOVO COMPANY,MASSAGE,SPRAY,140.0,menthol,1
ALGASON MASSAGE CREAM 40 GM,ألجاسون ماسساجي,CAMPHOR+DIETHYLAMINE SALICYLATE+MENTHOL,PHARCO,ANALGESIC,TOPICAL,46.0,menthol,1
ALGIAFREE 100 GM CREAM,ألجيافري,CAMPHOR OIL+MENTHOL OIL+EUCALYPTUS OIL+THYME EXTRACT+CLOVE EXTRACT+CINNAMON EXTRACT+PARAFFIN OIL,SMARTEC PHARMACEUTICALS AND COSMETIC > BETA PHARM,MASSAGE CREAM,TOPICAL,128.0,menthol,1
ALKA ROSE MASSAGE CREAM 50 GM,ألكا روسي ماسساجي,MENTHOL+CAMPHOR+SALICYLIC ACID+PARAFFIN OIL,LEADER FOR COMSETIC > DEMA PARM,MASSAGE CREAM,TOPICAL,35.0,menthol,1
ALL-VENT SYRUP 125ML,ألل-فينت,BROMHEXINE+GUAIFENESIN+MENTHOL+TERBUTALINE,BORG,COUGH PRODUCTS,ORAL.LIQUID,34.0,menthol,1
